SampleID	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10
305387	0.0000	0.8587	0.0000	0.0000	0.1412	0.0000	0.0000	0.0000	0.0000	0.0000
351218	0.0000	0.8977	0.0000	0.0000	0.0333	0.0000	0.0000	0.0000	0.0689	0.0000
371396	0.0000	0.8722	0.0000	0.0000	0.0000	0.0000	0.0000	0.1277	0.0000	0.0000
515084	0.0000	0.8649	0.0000	0.0802	0.0420	0.0000	0.0000	0.0000	0.0129	0.0000
525943	0.0000	0.8714	0.0000	0.1285	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
807622	0.0937	0.8867	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0195
817803	0.0000	0.8898	0.0000	0.0000	0.0000	0.0000	0.1030	0.0000	0.0000	0.0071
821425	0.0000	0.8390	0.0000	0.0838	0.0000	0.0772	0.0000	0.0000	0.0000	0.0000
838338	0.0000	0.8883	0.0000	0.0000	0.0000	0.0000	0.1117	0.0000	0.0000	0.0000
959836	0.0000	0.8740	0.0000	0.0281	0.0000	0.0000	0.0000	0.0846	0.0000	0.0132
