SampleID	K1	K2	K3	K4	K5	K6
305387	0.0000	0.8672	0.0000	0.1327	0.0000	0.0000
351218	0.0000	0.9066	0.0680	0.0254	0.0000	0.0000
371396	0.0000	0.8799	0.0000	0.0000	0.1200	0.0000
515084	0.0000	0.8743	0.0475	0.0600	0.0182	0.0000
525943	0.0000	0.8817	0.0000	0.0000	0.0000	0.1183
807622	0.0341	0.8955	0.0000	0.0000	0.0704	0.0000
817803	0.0370	0.8984	0.0000	0.0646	0.0000	0.0000
821425	0.0721	0.8488	0.0000	0.0000	0.0791	0.0000
838338	0.0000	0.8975	0.0055	0.0971	0.0000	0.0000
959836	0.0922	0.8839	0.0000	0.0000	0.0239	0.0000
