SampleID	K1	K2	K3	K4	K5	K6	K7	K8
305387	0.0000	0.0000	0.0000	0.8599	0.0000	0.0000	0.1400	0.0000
351218	0.0697	0.0000	0.0000	0.8989	0.0000	0.0000	0.0314	0.0000
371396	0.0000	0.1172	0.0009	0.8730	0.0000	0.0089	0.0000	0.0000
515084	0.0100	0.0000	0.0000	0.8661	0.0000	0.0865	0.0373	0.0000
525943	0.0000	0.0000	0.0000	0.8725	0.0000	0.1275	0.0000	0.0000
807622	0.0000	0.0665	0.0000	0.8887	0.0447	0.0000	0.0000	0.0000
817803	0.0000	0.0000	0.0000	0.8904	0.0162	0.0000	0.0000	0.0934
821425	0.0000	0.0424	0.0000	0.8415	0.0000	0.1160	0.0000	0.0000
838338	0.0000	0.0000	0.0000	0.8898	0.0000	0.0000	0.0000	0.1102
959836	0.0000	0.0100	0.0000	0.8767	0.0708	0.0425	0.0000	0.0000
