SampleID	PC1	PC2	PC3	PC4	PC5
305387	0.310039	-0.026664	-0.068136	0.183144	0.127671
351218	0.314765	-0.023194	-0.037693	0.004056	0.521440
371396	0.308001	-0.015457	-0.026788	-0.121677	0.013247
515084	0.312214	-0.007069	-0.029101	-0.197434	0.097170
525943	0.318736	0.015241	-0.056634	0.801159	-0.169236
807622	0.319587	-0.020503	-0.024405	-0.024564	-0.499851
817803	0.308939	-0.022323	-0.086887	-0.093219	-0.247532
821425	0.301751	-0.000422	0.003127	-0.062239	0.528191
838338	0.315222	-0.029848	-0.028107	-0.017745	-0.070468
959836	0.315578	0.001548	-0.025868	-0.495730	-0.258636
